,index,Unnamed: 0,id,user_location,text,created_at,username,lang,retweet_count,reply_count,like_count,quote_count,sentiment,topic
0,241,241,1464250517656379402,"Toronto, Ontario","According to WHO, #vaccines reduced transmissions of #COVID by almost 60%. Now with Delta, it’s dropped to around 40%. Implementing an approach to public health measures to prevent transmission will take the pressure off health systems and save lives.

https://t.co/FKyYCYStuw",2021-11-26 15:11:42+00:00,assurifyinc,en,0,0,0,0,Neutral,4
1,929,929,1464834395638882317,"Moh’kins’tsis / Calgary, CA","Ok folks, I’m going to sleep now and when I wake up, I’ll be expecting decisionmakers to do vaccine equity, airborne precautions (ventilation, filtration, IAQ monitoring), respirators, rapid tests and empathy, so prepare to act accordingly. ✌🏻",2021-11-28 05:51:49+00:00,amandalhu,en,3,4,40,0,Neutral,4
2,1134,1134,1465090004485435396,"Hamilton, ON",The first two cases of the Omicron variant of covid-19 have been detected in Ontario. The province is confirming the first two cases were discovered in Ottawa and both individuals recently traveled from Nigeria. https://t.co/28aHXKXRNc,2021-11-28 22:47:31+00:00,CHCHNews,en,9,16,17,0,Neutral,2
3,746,746,1464669280994267137,"Ottawa, Ontario","Things are awful right now, but wonder how different the season could have gone without the covid problems and not the plethera of injuries to key players.",2021-11-27 18:55:43+00:00,Quaility9,en,0,0,0,0,Negative,6
4,719,719,1464634998334574595,"East Gwillimbury, Ontario",I’ve had 3 Pfizer vaccines and always wear my KN95 mask. https://t.co/FAkSfVvq1W,2021-11-27 16:39:29+00:00,lmv6719,en,0,0,1,0,Neutral,4
5,824,824,1464731734604275712,Canada,"COVID outbreak hits Canadian army base, even though all soldiers are fully vaccinated - LifeSite https://t.co/xcXiBEB8Gh",2021-11-27 23:03:53+00:00,delentos2,en,0,0,0,0,Negative,5
6,417,417,1464341138572148738,Canada,"Politician says only &amp;quot;anti-vaxxers&amp;quot; oppose mandatory vaccination #Canada
https://t.co/eslwHFfcNh",2021-11-26 21:11:48+00:00,torynowdotcom,en,0,0,0,0,Negative,3
7,284,284,1464272669600276480,"Mississauga, Ontario","From the outset, it seems we might run out of #hospital beds if we allow the new variant to enter Canada @PattyHajdu @fordnation. I hope we have learned our lessons. #covid19",2021-11-26 16:39:43+00:00,discovery_monk,en,0,0,0,0,Negative,2
8,821,821,1464729707207962627,Canada,Useful 🧵 on vaccine equity and the detection of Omicron. https://t.co/LLkClzFnZV,2021-11-27 22:55:50+00:00,Sohrab_Farid,en,0,0,0,0,Neutral,2
9,454,454,1464367325688348680,"Ottawa, Ontario, Canada","Project Lighthouse, an organization that raises awareness for sexual violence and navigating healthy sexual relationships, hosted its first in-person event.
Story by @Skokten__ 
#algonquincollege #news #Students #college #Awareness #ottawa #ottnews #Covid 
https://t.co/YuUiOEEDaz",2021-11-26 22:55:51+00:00,algonquintimes,en,3,0,4,1,Neutral,6
10,137,137,1464109615516307457,"Vancouver, Canada","Don’t Know
@DrIanWeissman 
#COVID19 #RSNA21 https://t.co/pXAfsyorNY",2021-11-26 05:51:48+00:00,DrHugue,en,1,0,2,0,Neutral,6
11,1037,1037,1465003478389043201,"Toronto, Ontario",Yay! Our youngest has had dose one of his Covid vaccine!! https://t.co/ok2cxJWuQv,2021-11-28 17:03:42+00:00,DrAmandaSelk,en,1,0,36,0,Positive,4
12,1014,1014,1464985352033091586,"North Vancouver, BC",New Zealand well-placed to detect and contain new Omicron Covid variant - expert https://t.co/pEj7v0X9su,2021-11-28 15:51:40+00:00,Crof,en,0,0,0,0,Positive,2
13,559,559,1464426595347623936,"Victoria, British Columbia, Canada","Do I detect, perhaps, a frisson of excitement?
#COVID19 #SanitaryDictatorship #OmicronVariant https://t.co/5gPSHuw9BC",2021-11-27 02:51:22+00:00,KMGVictoria,en,0,1,4,0,Neutral,2
14,60,60,1464051105311121412,Ontario Canada,"Do children need vaccine passports? Not now, Ontario says https://t.co/lVNziGILyk
https://t.co/lVNziGILyk",2021-11-26 01:59:18+00:00,OntNewsWatch,en,0,0,0,0,Neutral,4
15,69,69,1464057195159511044,"dauphin,manitoba",South African scientists detect new COVID-19 variant amid spike - The Globe and Mail https://t.co/QvzHmQ4sj8,2021-11-26 02:23:30+00:00,inky_mark,en,0,0,0,0,Neutral,2
16,201,201,1464216305020645377,"New Brunswick, Canada","Continue practising protective health measures like:
 • Getting fully vaccinated against COVID-19
 • Hand Washing and using hand sanitizer
 • Staying home when sick
 • Coughing into your elbow
 • Getting tested if you have symptoms https://t.co/8c3VIoVaGa",2021-11-26 12:55:45+00:00,Gov_NB,en,7,12,15,0,Neutral,4
17,415,415,1464341161510846469,Canada,"With Ontario reporting the highest number(927)of Covid-19 cases since the past twelve weeks, Dr. Issac Bogoch, an infectious disease specialist, stressed on the need to expand booster shot eligibility. More on this tonight on @OMNICantoneseON @OMNIMN https://t.co/3byZTPSuYL",2021-11-26 21:11:53+00:00,OMNITelevision,en,1,3,2,1,Neutral,4
18,291,291,1464274668622204929,"Vancouver, British Columbia","Conservatives come out in favour of indefinite Covid measures.

There will always be a new variant. That doesn't warrant the failed policies we've seen worldwide over the last 20 months.

We gonna do this again in another 20 months?

Enough is enough. https://t.co/3dEqxnFWZE",2021-11-26 16:47:40+00:00,ETito604,en,0,0,6,0,Negative,3
19,779,779,1464697487340494849,"Elmira, ON",I’m at the pinebush vaccination clinic with my 10yo and ❤️❤️🥰❤️ all the kiddos getting their vaccinations today. Thank you @ROWPublicHealth,2021-11-27 20:47:48+00:00,Karen_Meissner_,en,0,4,73,0,Positive,4
20,1091,1091,1465049728186568713,Canada,I love how they wrote covid into the morning show,2021-11-28 20:07:29+00:00,allegrawagner,en,0,1,0,0,Positive,6
21,147,147,1464125637942255616,"Guelph, Ontario, Canada","Dalhousie University switching to mandatory proof of vaccination for all staff, students

Halifax university says only 20% of people who were supposed to show negative tests did so
 https://t.co/J1lDER7gpA",2021-11-26 06:55:28+00:00,TRyanGregory,en,13,0,26,0,Neutral,4
22,438,438,1464351235490729984,"Sylvan Lake, AB","‘Worst we’ve seen so far’: New COVID-19 variant Omicron is ‘highly transmissible’, Canada unveils new travel restrictions https://t.co/aPAUvH4JHP",2021-11-26 21:51:55+00:00,gregbd,en,0,0,0,0,Negative,2
23,1111,1111,1465071895108374529,"Regina, Saskatchewan",I don't WANT to say that live Rider  crowds have been absolutely abysmal since vaccine mandates were implemented because we're not supposed to talk about but...live crowds have been absolutely abysmal since vaccine mandates were implemented. https://t.co/azhLIjAj3V,2021-11-28 21:35:34+00:00,TheKingKash1,en,0,0,1,0,Negative,3
24,686,686,1464621005331218440,Ontario canada,"COVID-19 booster doses 

Del Bigtree (@delbigtree) Tweeted:
Scientists are mystified why one of the only UnVxxed nations has No COVID. Hmmm?!?! https://t.co/LjEUNUYYtu https://t.co/jfnwhZS0hg",2021-11-27 15:43:53+00:00,SamMetc35688623,en,0,0,0,0,Neutral,4
25,457,457,1464367300044374025,"Toronto, Ontario, Canada","Does shopping affect how much financial assistance you can receive and/or your salary?

Its seems salaries are directly affected.

Did employees and former employees hit by covid-19 become double victims by not being able to receive any financial assistance and/or",2021-11-26 22:55:45+00:00,AmandaRisser1,en,0,1,0,0,Negative,1
26,204,204,1464218321436479489,Canada,"$PFE $MRNA Some understanding: Vaccine immunity vs natural immunity. Its simple, Vaccine Immunity triggers your immune system to respond to CV19 etc vs Natural Immunity depends on your Immune system to effectively respond. Same with Hybrid Immunity. @andrewrsorkin @BeckyQuick",2021-11-26 13:03:46+00:00,CardyTruster,en,0,0,0,0,Neutral,4
27,1122,1122,1465079974746943494,Peripatetic - Stuck in AB,Biden administration focuses on booster shots as best strategy against new coronavirus variant https://t.co/Jqt8ixVpuR,2021-11-28 22:07:40+00:00,hazydav,en,1,0,1,0,Neutral,2
28,983,983,1464949053725151246,"Victoria, BC","PM Johnson piled pressure on scientists on the Joint Committee on Vaccination and Immunisation (JCVI) to urgently consider rolling out booster jabs to all adults, as well as reducing the waiting period between second and third doses. #cdnpoli #bcpoli https://t.co/c7Hht98bXT",2021-11-28 13:27:26+00:00,nspector4,en,1,2,4,1,Neutral,4
29,1,1,1464022006865838087,Canada,"“Unvaccinated cases accounted for the majority (91.7%) of COVID-19 cases reported since December 14, 2020 and up to November 14, 2021, with breakthrough cases accounting for 3.8% of cases, and cases following a third dose accounting for &lt;0.1%”   https://t.co/KBf8XIYFEg) https://t.co/wJzNoMHtaf",2021-11-26 00:03:41+00:00,TheSGEM,en,14,4,36,1,Neutral,4
30,1100,1100,1465059793199063046,On World Tour,"While I want to focus on the win for U of M. #GoBlue, all I can think about is #COVID19 celebrating, too. https://t.co/yKnWbGM5H8",2021-11-28 20:47:28+00:00,porshalanee,en,0,0,1,0,Neutral,6
31,681,681,1464612888874733568,"Charlottetown, PEI","omicron... probably world wide now. no answers to its reaction to vaccines. I think we need to wait for the scientists. in the mean time, vote every conservative out of office, vaccinate, and mask. plead for governments to mandate vaccine.",2021-11-27 15:11:38+00:00,MoralityPLS,en,0,0,1,0,Neutral,2
32,963,963,1464924997831565315,"Montréal, Québec","Passed in Parliament November 26,2020 isolation”sites” https://t.co/szVnXJR6OQ",2021-11-28 11:51:51+00:00,Georgia35228403,en,0,0,0,0,Neutral,4
33,1132,1132,1465090103030665219,Canada,"*Updated*

To better depict our reality in BC, we have a new cartoon, featuring COVID-19 vaccine superhero Billy and his mom, as they try to navigate muddled messaging, questionable product placement/self promotion and the ever present misinformation.

#BCPoli #SafeSchoolsBC https://t.co/mQ7FvsGm2Z",2021-11-28 22:47:55+00:00,bad_batch_rex,en,5,0,7,1,Neutral,6
34,1078,1078,1465043801005830146,"Thunder Bay, Ontario",Home from our first plane trip since the COVID. It was a bit of an anxiety builder as we didn't take Black Friday into consideration when we booked this trip. So no extra shopping or visiting happened. 1/3,2021-11-28 19:43:56+00:00,KMal_T8N,en,0,1,2,0,Negative,6
35,1135,1135,1465092053226950657,"Montréal, Québec",1/6 Today is one of those days. I'm depressed. I'm numb. The World doesn't seem to make sense. COVID propaganda everywhere. Gender ideology being forced onto kids. Media still talking about the Rittenhouse trial while ignoring the Waukesha massacre and Ghislaine Maxwell.,2021-11-28 22:55:40+00:00,HomoFrog82,en,0,1,5,0,Negative,6
36,796,796,1464707588700975104,"GTA, Ontario, Canada ","Vaccine equity is a serious problem!

As a fully-vaccinated, pro-vaccine guy, I’d rather have my third/booster shot given to someone from a low-income country who didn’t receive any dose of a Covid-19 vaccine.

@JustinTrudeau please donate our unused stockpile.
#omicron #booster",2021-11-27 21:27:56+00:00,OVahidi,en,0,1,0,0,Neutral,4
37,1159,1159,1465106124982652928,Canada,"How did 61 people test positive for Covid upon arrival at Amsterdam? 
How did Omicron make an appearance in Australia if you need to be vaccinated to arrive and the unvaccinated aren’t allowed to leave or return?
The vaccines don’t work and it’s time to move on with life",2021-11-28 23:51:35+00:00,NickBollockov,en,96,22,310,5,Negative,3
38,841,841,1464743782193111043,"Victoria, BC",A very #covid19 Christmas. https://t.co/5o3sR142Bp,2021-11-27 23:51:45+00:00,LizaYuzda,en,6,14,147,7,Neutral,6
39,1144,1144,1465096015480979461,Canada,Lancet Study Finds COVID Shots Do Not ... https://t.co/BcrEihq3By,2021-11-28 23:11:24+00:00,hoochhowe,en,1,0,1,0,Neutral,5
40,781,781,1464697424954511365,"Toronto, Ontario","If this new COVID variant starts spreading like wildfire, what are the short term (ie. 6-9 months) implications for the price of #uranium, the U miners and to the #nuclear power industry? Long term (ie. 2+ years) I don’t think there’s an issue. #GLTA",2021-11-27 20:47:33+00:00,umesh_gandhi007,en,0,0,0,0,Neutral,1
41,227,227,1464238479735406596,Canada,"You’re brain Dead if you fall for this 💩.
https://t.co/Htpu91KPPT",2021-11-26 14:23:52+00:00,ContrarianZone,en,0,0,0,0,Negative,6
42,850,850,1464751753706938371,"Calgary, Alberta",Does it really matter? If we don’t start thinking differently we will be forever crippled by Covid hysteria. https://t.co/8RxXOOmko6,2021-11-28 00:23:26+00:00,DannyAlberta77,en,2,0,3,0,Negative,3
43,791,791,1464703522260328449,"Regina, Saskatchewan",Mandryk: Latest COVID-19 approach opts for cajoling over hectoring https://t.co/odQ20CvJZg,2021-11-27 21:11:47+00:00,leaderpost,en,0,0,2,0,Neutral,5
44,564,564,1464430683238064134,Canada,"Amanita: Cleo, you really think I would spend 1300 years of my life just to get a rise out of you?
Cleo: Yes, I do!

(Source: South Park- Post Covid)
#incorrectmonsterhighquotes",2021-11-27 03:07:37+00:00,KelCurrie,en,0,0,0,0,Neutral,6
45,1113,1113,1465075959388938251,"Saskatoon, SK","💔💔💔💔
# of new cases are dropping. Not the deaths though.

COVID-19 in Sask.: 52 new cases and 4 more deaths reported Sunday | CBC News https://t.co/isUrGCzOyM",2021-11-28 21:51:43+00:00,kathymahar,en,0,0,0,0,Negative,5
46,804,804,1464715605232152577,"Calgary, Alberta","Dear @AHS_media, thanks so much for the all the thought you put into children’s #COVID19 vaccinations:

Dogs ✅
Stickers ✅
Fun bandaids ✅
Playdoh ✅
Support people ✅

Your ventilation, however, could use a little work. 👇 #abhealth https://t.co/Ud4xxIQx8I",2021-11-27 21:59:48+00:00,Stepnstop,en,6,2,22,1,Positive,4
47,393,393,1464329059740143623,"Truro, Nova Scotia","Nov. 26: Nova Scotia reports 28 new COVID-19 cases, more school exposures | SaltWire https://t.co/cVSuAqNXcU https://t.co/qBXkEF5luH",2021-11-26 20:23:48+00:00,trurodaily,en,0,0,0,0,Neutral,5
48,361,361,1464312963284627459,"Canada, India, USA","OMICRON sounds like a new super Transformer, like more powerful than Optimus Prime or some shit. #newvariant #B11259 #coronavirus #Omicron https://t.co/hRMTvnjr66",2021-11-26 19:19:50+00:00,Rantaramic,en,2,0,2,0,Neutral,2
49,1155,1155,1465104129815101440,Saskatoon Canada,"Pretty obvious they didn't want to play in Saskatoon and they used covid as a convenient excuse.

Fuck everything https://t.co/PSuZkmCZgz",2021-11-28 23:43:39+00:00,TheShyRetirer,en,0,0,0,0,Negative,6
50,374,374,1464319011571875844,"Montréal, Québec",EU countries agree to suspend travel to southern Africa over new COVID variant https://t.co/CVG4xJHOg3,2021-11-26 19:43:52+00:00,giulia_getta,en,0,0,0,0,Neutral,2
51,138,138,1464109579764072448,"Cremona, Alberta","If it takes a sticker! All my kids had school vax, I’d like to see parents not have to take more time, school vax should (is) be a thing! @NathanCooperAB @jkenney https://t.co/6J6VZ0k5Oi",2021-11-26 05:51:40+00:00,AmourShukster,en,0,0,0,0,Neutral,6
52,736,736,1464657181253505027,Canada,I hope news outlets are losing viewers with the everyday Covid news…it’s boring,2021-11-27 18:07:38+00:00,niqueea92,en,0,0,0,0,Negative,6
53,228,228,1464238468729651202,"Saint John, New Brunswick",Idea: a covid variant that instead makes you healthier.,2021-11-26 14:23:49+00:00,dereknason,en,0,0,9,0,Neutral,6
54,966,966,1464927043326517259,"Toronto, Ontario","The ""powers that be"" give themselves away when you have a 100% vaccination rate and then get variants coming from the domestic pop &amp; infecting them anyway

#cdnpoli #onpoli #bcpoli

@JustinTrudeau @fordnation @johntory
@patrickbrownont 

#NoVaccineMandates
#NoVaccinePassports https://t.co/UChsI7PsBG",2021-11-28 11:59:58+00:00,kittyhundal,en,1,0,1,0,Negative,3
55,167,167,1464174018672611332,"Toronto, Ontario",WHO calls special meeting to discuss new Covid variant from South Africa with 'large number of mutations' via @BuzzSumo https://t.co/lOkwqlfKNa,2021-11-26 10:07:43+00:00,denniscecconet,en,0,0,0,0,Neutral,2
56,337,337,1464298888848887811,"Waskaganish, James Bay Québec ","The new South African variant is name as 'Omicron' 
#WHO labels new #Covid strain as variant of concern named #Omicron with possible increased reinfection risk",2021-11-26 18:23:55+00:00,SaltMatthew,en,0,0,0,0,Neutral,2
57,462,462,1464371323925417985,"Vaughan, Ontario","""Coronavirus Briefing: What Happened Today"" by Jonathan Wolfe via NYT https://t.co/Bq6Skeiq18 #backbonefinancial #commerce",2021-11-26 23:11:44+00:00,FinancialBack,en,0,0,0,0,Neutral,5
58,316,316,1464288766445694983,"Calgary, Alberta",Emmanuel Macron says Boris Johnson not taking migrant crisis ‘seriously’ as row with France escalates - The Independent.   He’s a serious as he was about covid. Couldn’t give a shit   It’s all about a shield for sleaze  https://t.co/5DDo11npXV,2021-11-26 17:43:41+00:00,seahamcw1,en,0,0,0,0,Negative,5
59,533,533,1464408088392482816,"Toronto, Canada","🆕Update to our Review on Bacterial Infection in #COVID19: while co-infection remains infrequently reported, secondary infection is more common, especially in ICU. But- high heterogeneity across studies and less than 1/3 studies have low risk of bias: https://t.co/6uxJq7FNAB https://t.co/TgGrSTMnqq",2021-11-27 01:37:50+00:00,BRxAD,en,44,1,102,2,Neutral,5
60,336,336,1464296879244681223,"Ottawa, ON Canada",Breaking: Kingston reduces household gatherings to 10... anyone holding indoor gatherings privately must take names and numbers for contact tracing. Fines of $5000 for non-compliance. Spike in cases here recently #COVID19 https://t.co/8zT6LGVnb1,2021-11-26 18:15:55+00:00,grahamctv,en,16,8,64,3,Neutral,5
61,273,273,1464268619550892032,BC,Pfizer wants Covid Vaccine throughout the world Mandatory every year or second year and wants to be only supplier for that. SAME as POLIO..propaganda,2021-11-26 16:23:38+00:00,MARSGrewal,en,0,0,0,0,Negative,5
62,355,355,1464308902170923019,"Ottawa, Ontario",Just wrapped up our consult with @SickKidsNews to answer questions about the 5-11 covid vaccine. I highly recommend this service to anyone on the fence about vaccines for kids. They were able to answer all our questions in great detail without any judgement. @CHEO @AlexMunter,2021-11-26 19:03:42+00:00,Steve_Morrison7,en,0,0,1,0,Neutral,4
63,1090,1090,1465049839687938053,"Saskatoon, Saskatchewan",ICYMI: Mandryk: Latest COVID-19 approach opts for cajoling over hectoring https://t.co/kowoCNUo4W,2021-11-28 20:07:55+00:00,TheStarPhoenix,en,0,0,1,0,Neutral,5
64,926,926,1464828361000116226,"Planet Earth, 40,000 BC",I hope we never get a π variant of the Covid-19 virus. Those dumbfuq Q-hillbillies are gonna be asking for sumadat fancy free pie the libs don't wanna have.,2021-11-28 05:27:51+00:00,Caveman_Fury,en,0,0,0,0,Negative,6
65,390,390,1464327082448769030,"555 Industrial Dr. Milton, ON","JUST IN: Halton logs biggest daily increase in COVID-19 cases in weeks, as another resident died from disease. Here’s more:
https://t.co/dw0aU72syI",2021-11-26 20:15:56+00:00,Milton_Champion,en,0,0,0,0,Neutral,5
66,412,412,1464339157824655360,"Campbell River, BC","The Cyprus spokesperson went on to describe the further challenge that Ouzo stockpiles are depleted following Covid, limiting demand for saganaki. They are asking people to look through their liquor cabinet and ask themselves ""How else they will get rid of the bottle of ouzo?"" https://t.co/5CHWDy2xTM",2021-11-26 21:03:55+00:00,crgcas,en,0,1,0,0,Neutral,1
67,832,832,1464735602226704391,london ont.canada,Huckabee blasts Biden's hypocrisy with COVID travel bans https://t.co/vMqEMn0t2y via @YouTube,2021-11-27 23:19:15+00:00,shaniaabc,en,0,0,0,0,Neutral,3
68,596,596,1464457432659214340,NU'NIVERSITY,"nuest concert will be the standard of concert in korea during covid times. Loves are so obedient.. no screaming, just clapping 😊 it's hard but better than having no offline concert at all. 
i hope it will be successful. successful, i  mean no case of infection during the concert https://t.co/BixZiBF7Xi",2021-11-27 04:53:54+00:00,laurice0289,en,27,0,57,1,Neutral,6
69,1069,1069,1465033673431040003,"Toronto, Canada",Fauci: US could face ‘fifth wave’ of Covid as Omicron variant nears https://t.co/LfwyUFb3IW,2021-11-28 19:03:41+00:00,PaulStewartII,en,0,0,0,0,Neutral,2
70,894,894,1464791969264291840,"Windsor, Ontario",If @JustinTrudeau died of #Covid_19 I’d throw the biggest Covid party!!,2021-11-28 03:03:14+00:00,JLetsgobrandonB,en,0,0,0,0,Negative,6
71,124,124,1464093438266204162,canada,"Whistleblower says Pfizer “falsified data,” conducted flawed covid “vaccine” trials to rig FDA approval https://t.co/vVFiFRMQqM Questions now emerging on questionable substandard clinical trail practices at Ventavia &amp; Pfizer for Covid vaccine trails on adults &amp; children?",2021-11-26 04:47:31+00:00,politicsdad2,en,0,0,0,0,Neutral,5
72,610,610,1464475964772130818,"Toronto, Ontario Canada",Markets Tumble as New #Coronavirus Variant Brings Travel Restrictions https://t.co/zqyFV5wKbA,2021-11-27 06:07:33+00:00,RajRama,en,0,0,1,0,Neutral,1
73,180,180,1464192092679327744,"Ottawa, Ontario","This is a challenge ... in 2021, no less.  It's concerning that bureaucracy silos information, within provinces, across provinces, and around the world.

Homo Sapiens.  If we are to save ourselves, we must share knowledge.

/via @globeandmail https://t.co/JiEUcGzarL",2021-11-26 11:19:32+00:00,Joe_Ottawa,en,0,0,1,0,Neutral,6
74,882,882,1464779919838224384,"Vancouver, British Columbia","Lisen if you want some strange virus humping your lungs at least do us a favor and don't die from it?

#vaccine",2021-11-28 02:15:21+00:00,Drewsinden,en,0,0,2,0,Neutral,6
75,163,163,1464159894702071812,Canada,"#COVID19 tests, especially false positives ones

Are the newest means of control 

Solution: NEVER GET TESTED

#Tests #Covid https://t.co/FBb1KzvChn",2021-11-26 09:11:36+00:00,ModerateMonty,en,0,0,0,0,Neutral,3
76,493,493,1464385444406120452,"Kamloops, British Columbia","Friday #COVID19 totals include 341 cases in B.C., 77 in Interior Health | DETAILS: https://t.co/8WcIHYHLn7 #Kamloops https://t.co/ICp9msrCiP",2021-11-27 00:07:51+00:00,CFJC_Today,en,0,0,0,0,Neutral,5
77,271,271,1464266600266313733,"1 Yonge St., Toronto, Canada","⚡️Here’s what we know about B. 1.1.529, the new COVID variant with a large number of mutations #B11529 
https://t.co/CwiDnGCFLH",2021-11-26 16:15:36+00:00,TorontoStar,en,7,5,6,0,Neutral,2
78,548,548,1464418367083724804,Canada,With all the people who have been vaccinated and all the people who have recovered from Covid. WHO IS LEFT to get sick and spread the virus. https://t.co/iBkj8sesmX,2021-11-27 02:18:40+00:00,graywolf33925,en,0,0,0,0,Neutral,6
79,83,83,1464061271251296257,"Ottawa, Canada","#COVID19 #Africa #Variant:
'Our scientists are deeply concerned' - #UK #Health Secretary Javid
https://t.co/VNOGm57m6H",2021-11-26 02:39:42+00:00,ottawafamtree,en,0,0,0,0,Neutral,2
80,165,165,1464167978166071299,"Principal Street, Canada",LA firefighter accused of wiping butt with vaccine mandate letter that was handed to him https://t.co/2i3irdWGHg #FoxNews,2021-11-26 09:43:43+00:00,ladevita12,en,1,0,2,0,Netural,5
81,256,256,1464258581222637572,"Toronto, Ontario",NOT ANOTHER COVID VARIANT DOING A MEDIA PRESS TOUR,2021-11-26 15:43:45+00:00,slavscammer,en,0,0,7,0,Neutral,6
82,908,908,1464804083806740488,"Chesterville, Québec","So now everytime kune so called new variant ye Corona ,government  will vaccinate people,,you must be joking or kambe you give vouchers kanti yini lena eku vaccination ?",2021-11-28 03:51:22+00:00,sharpsurety,en,0,0,0,0,Neutral,3
83,800,800,1464711593720229890,"Toronto, CA  | Hargeisa, SL",Wake me up when covid ends,2021-11-27 21:43:51+00:00,AzizFaarah,en,0,3,18,0,Neutral,6
84,1116,1116,1465078012408389635,"Toronto, CA",Ontario reports first two cases of Omicron COVID-19 variant https://t.co/3wxLdkVcYF,2021-11-28 21:59:52+00:00,cngzkync,en,0,0,0,0,Neutral,2
