,id,user_location,text,created_at,username,lang,retweet_count,reply_count,like_count,quote_count
0,1463659556668469248,"Occupied Brentwood, CA ","How to say zero covid without saying zero covid.
Insane. https://t.co/kinYp57P4u",2021-11-25 00:03:26+00:00,funymnjamo,en,0,0,0,0
1,1463659547109769222,Canada,42 new cases were reported in the Island Health region.  https://t.co/O85H7IYIU5 #victoriabuzz #yyj,2021-11-25 00:03:24+00:00,victoriabuzzes,en,0,0,1,0
2,1463659524758274051,"Prince George, BC","88% of adults in BC fully inoculated against COVID-19
https://t.co/i5JOtyBiie https://t.co/B226aMWutI",2021-11-25 00:03:18+00:00,mypgnow,en,0,0,0,0
3,1463659512162832387,"Ottawa, Ontario",Way to go W! Was so excited to see her on @ctvottawa asking her question about the vaccine. She did an amazing job!⭐️ @StAnneOCSB https://t.co/vhjEa3h5U6,2021-11-25 00:03:15+00:00,MissCampagna,en,2,1,28,0
4,1463660598340710404,Vancouver BC,"There are 322 new cases of COVID-19 in BC since yesterday. 

There are 318 people currently in hospital, 109 of whom are in intensive care.",2021-11-25 00:07:34+00:00,adriandix,en,17,6,26,1
5,1463660577931378695,"Toronto, Ontario","A reminder that the survival rate for Covid-19 is well over 99%.

None of these measures are justified anymore. They likely never were. 

#onpoli #cdnpoli",2021-11-25 00:07:29+00:00,JamesManson6263,en,380,25,1687,14
6,1463660569450352640,Vancouver BC,"Nine people have passed away from COVID-19 in the past 24 hours. Our condolences are with the families, friends and caregivers of those who have died as a result of COVID-19.",2021-11-25 00:07:27+00:00,adriandix,en,12,2,22,2
7,1463662714220253186,Canada ,"Nothing is ever too late, how to devaccinate -Tips ZEOLITE to neutralize Graphene Oxide and in China they are using Nanocrystals to neutralize the  spike proteins in the mRNA Covid vaccine https://t.co/bBxZyM1BwY",2021-11-25 00:15:59+00:00,IdilSophie1,en,0,0,0,0
8,1463662689545191427,"Victoria, British Columbia","Children at lower risk from COVID, vaccines should go to poor - WHO https://t.co/WpoKzXoypL",2021-11-25 00:15:53+00:00,Phyllisnudgeccm,en,0,0,1,0
9,1463662630996897795,"Albany, CA","Now I’ll be staring at Aaron Rodgers’ crotch all Sunday afternoon.

Covid Tow

#Packers",2021-11-25 00:15:39+00:00,keith_saunders,en,0,0,1,0
10,1463664654132023296,"Vancouver, British Columbia",Showing where the acupuncturist gave him Covid immunity. https://t.co/R9tB5bhHJP,2021-11-25 00:23:41+00:00,Bun73529461,en,0,0,0,0
11,1463664585949564928,"Ottawa, Ontario","""mRNA vacs dramatically increase inflammation on the endothelium and T cell infiltration of cardiac muscle and may account for the observations of increased thrombosis, cardiomyopathy, and other vascular events following vaccination.""

Not good. https://t.co/r6nWjsRKrr",2021-11-25 00:23:25+00:00,phil_rack,en,0,0,1,0
12,1463664558397079556,"Hamilton, Ontario",Thanks to Covid I haven’t clubbed at Hess for damn near 2 years,2021-11-25 00:23:18+00:00,_CallMeTriggs,en,0,1,18,0
13,1463666652902567938,"Toronto, Ontario","Tonight we celebrate the 187th AGM of the St. George's Society Toronto. 

""As we continue to navigate the COVID-19 pandemic, we've faced periods of great difficulty and uncertainty. The Society has maintained an eye on its support for those most in need."" -Aaron Bains, President https://t.co/WCRf85NN4u",2021-11-25 00:31:38+00:00,stgeorgesto_,en,1,1,5,1
14,1463666591262928896,"Calgary, Alberta","Some people smell like actual COVID. Please for the love of God, put your deodorant.",2021-11-25 00:31:23+00:00,HarryAquino,en,0,1,3,0
15,1463668717833891841,"Kingston, Ontario","CBC: BC records 322 new cases of COVID-19 and 9 more deaths.
https://t.co/C5nISRclE4

via @GoogleNews",2021-11-25 00:39:50+00:00,timmins316,en,0,0,0,0
16,1463668669637173252,"Ontario, CA","Welcome Communist Canada.

Where people are not able to put food on the table- or feed their kids if not vaxxed!! 
Vax is an experimental and leaky vaccine that doesn’t prevent infection.  

Who’s paying him ? What changed ?
Wake up 🇨🇦 Canada 

#CommunistCanada 
#CommunistON https://t.co/FBqT3uWYlB",2021-11-25 00:39:39+00:00,SassyPr88568654,en,0,0,1,1
17,1463668626066575370,"Saskatoon, Saskatchewan",How is it that our premier has not tweeted ONCE this week about the absolutely critical official launch of child COVID vaccinations for the province?  Is this not important to broadcast to literally everyone here?,2021-11-25 00:39:28+00:00,CraigKoban,en,0,0,1,0
18,1463668601098059782,We can do better than this.,"📆#TodayInCOVID @PMPmagToday

#COVID19 UK Cases:
🚨24h: 43,676 (+14.1%)
🚨7d: 303,071
🚨28d: 1,090,834

🚨Average: 43,296/day
🚨#Zoe estimate: 76,728

📌&lt;30k cases: 19-Sep-21 (66d ago)
📌&lt;20k cases: 27-Jun-21 (150d ago)
📌&lt;1k cases: 24-Aug-20 (457d ago)

🔗https://t.co/h4CKR6hJqY https://t.co/xamcldTkMO",2021-11-25 00:39:22+00:00,PMPmagToday,en,2,0,2,0
