,id,user_location,text,created_at,username,lang,retweet_count,reply_count,like_count,quote_count
0,1463297284712669185,Pooch Palace Ancaster Canada,"Correct, Dead bolted nuts welded on statement of the pathetic ineptitude of the .@NDP  and .@CPC_HQ . Thru this entire mess of Covid and massive logistics involved with saving our country economically, spiritually, and sadly, emotionally, they have offered zero in positive policy https://t.co/oNX82L9vKs",2021-11-24 00:03:54+00:00,Huczek,en,1,0,1,0
2,1463298299230838787,"Ontario, CA",Is it a 3 dose vax? Not 15? I’m not sure. What did they say about it on CNN? 🧐 https://t.co/jMKGkciEOF,2021-11-24 00:07:55+00:00,Olga36930566,en,0,0,1,0
3,1463298217299357700,Canada and Palm Beach USA,Covid antivirals could be pandemic game-changers. But Americans might struggle to access them https://t.co/1GEqx60S18 via @statnews,2021-11-24 00:07:36+00:00,FrenchCA_P_Bel,en,0,0,0,0
4,1463298198651514880,Canada,"Doug Ford says Ontario's system just can't do it.

Pharmacies, pharmacies is Ford's answer to Ontario's COVID healthcare...you know...where there's a higher risk of transmission 😡

#onpoli 
Barrie
Orillia
Innisfil
Midland https://t.co/qZoivBhEpd",2021-11-24 00:07:31+00:00,Tammyocanada,en,0,1,0,0
5,1463298197732814850,"Alberta, Canada","Starting Wednesday, November 24, children ages 5-11 can be booked for their COVID-19 vaccination by phoning 811 or online at https://t.co/bkcx9y8VeV. The program is currently rolling out at health clinics across Alberta.
#COVID19AB #shpk #strathco #COVID19Vaccine https://t.co/40ZRDgnCR8",2021-11-24 00:07:31+00:00,StrathcoCounty,en,4,0,7,0
6,1463298163419267074,"Winnipeg, Manitoba","Some good memories indeed about the Royal Fork. Sad, But nothing last forever. COVID 19 was the final nail in the coffin. Going to be tough for buffets to survive now. A sad reality. But maybe there will be some silver linings from this. Newer unique restaurants? #Winnipeg https://t.co/6t8HD6OfaG",2021-11-24 00:07:23+00:00,adamjohnstonwpg,en,0,0,2,0
7,1463298138656186370,"Surrey, British Columbia","While COVID-19 has hurt many industries and job prospects, many occupations are now faring even better than before the pandemic. Here are the top 10 most in-demand jobs in British Columbia right now: https://t.co/hRfmH7VGOX https://t.co/mX7OsQJzJB",2021-11-24 00:07:17+00:00,GetintheKnowBC,en,0,0,0,0
10,1463300282847223810,"Ottawa, Ontario",Outstanding @MitacsCanada Award for Outstanding Innovation — Indigenous. To the team who developed an app to facilitate indigenous communities to self collect Covid impact information. Timely and culturally relevant reporting leading to positive health outcomes https://t.co/ky1SVGUwH2,2021-11-24 00:15:48+00:00,Go_Taylor,en,2,0,7,0
11,1463300226890887173,Vancouver BC,"""We conclude that the mRNA vacs dramatically increase inflammation on the endothelium and T cell infiltration of cardiac muscle and may account for the observations of increased thrombosis, cardiomyopathy, and other vascular events following vaccination.""
 https://t.co/3RDjsphi9M",2021-11-24 00:15:35+00:00,MetcalfeMegan,en,2,0,3,0
12,1463302337561202690,"Winnipeg, Manitoba","Just image if you had a model that has worked for every childhood vaccination to copy.
You do......
Do it in schools.
How incompetent are you?
Resign. https://t.co/AA5j55318y",2021-11-24 00:23:58+00:00,dwain_campbell,en,0,0,0,0
13,1463302283362541568,"Nova Scotia, Canada ",Let's hope they all get long covid! https://t.co/vgUnS8z6wb,2021-11-24 00:23:45+00:00,Flemmingdm,en,0,0,0,0
14,1463302222498828288,"Victoria, BC",Ottawa clarifies COVID-19 travel exemption on B.C.-U.S. border during floods https://t.co/aUgnXtukmk,2021-11-24 00:23:31+00:00,CHEK_News,en,2,2,1,0
15,1463302221685215234,NB Canada,"“If you say these vaccines are safe for my children…remove the liability protection.”

https://t.co/s69dXNFBMz",2021-11-24 00:23:31+00:00,me11ss,en,0,0,0,0
17,1463302191247151110,"Oakville, Ontario","Majority of Canadians are all concerned about the basics..food prices, gas prices, house prices, COVID, jobs..the 1% may worry about other things. https://t.co/2vwAdrn5Zv",2021-11-24 00:23:23+00:00,suzannealma,en,5,2,33,0
18,1463304322213560321,"Metro Vancouver, Canada","""It is my pleasure and honor to receive this honorary certificate. Taekwondo is a great martial art for protecting oneself in these times (when COVID-19 prevails).""
https://t.co/ipdWbc1OXL",2021-11-24 00:31:51+00:00,MFFables,en,0,0,0,0
19,1463304245524922370,"Fort McMurray, Alberta, Canada",Alberta prepared to roll out COVID-19 vaccines for kids; RMWB reports 99 active cases https://t.co/h3HmYY0xVN,2021-11-24 00:31:33+00:00,FortMacToday,en,0,0,2,0
21,1463306279099662342,"Central Okanagan, British Columbia",Not Just Austria—Here Are The Countries Making Covid-19 Vaccination Compulsory For Everyone via @forbes https://t.co/h0PzGpg00e,2021-11-24 00:39:38+00:00,CathyFarrow1,en,0,0,0,0
23,1463306252184961030,ON,"Transport Canada Interim order 45 has been released. https://t.co/rppyScVsVK

Still allowed to fly with a PCR 🤔@DufusShinkle https://t.co/6IpvKgMKuF",2021-11-24 00:39:32+00:00,hodlbebs,en,0,1,3,1
24,1463308345331240963,"Central Okanagan, British Columbia",Ukraine's doctors pushed to the limit by COVID-19 wave | AP News https://t.co/jq04Y1Zdfl,2021-11-24 00:47:51+00:00,CathyFarrow1,en,0,0,0,0
25,1463308340935610371,"Calgary, Alberta","So again, what was the point of this article? Oh yes, to instill fear so the feeble-minded would vax their kids! https://t.co/qbVtas91Ur",2021-11-24 00:47:50+00:00,SavageYyc,en,0,0,0,0
31,1463312365412392961,"Hip Town/Kingston, Ontario",A vaccine may offer protection against Lyme and other tick-borne diseases - The Weather Network https://t.co/tl1UmOaKXD,2021-11-24 01:03:49+00:00,MicheleDBrandt,en,0,0,0,0
33,1463312259845955593,"Toronto, Ontario","I'm a bit disappointed that I didn't have any symptoms for any of my covid vaccinations?! Third dose booster resulted in mild nausea after 12 h and a sore arm, but otherwise all good. #CovidVaccine #Booster #TriplePfizerBioNTech",2021-11-24 01:03:24+00:00,DrKAnderson_,en,0,0,1,0
34,1463314377826877440,Canada,The virus and Vox Political (or: Mike comes down with Covid) | Vox Political https://t.co/zuBOuEbzza,2021-11-24 01:11:49+00:00,Hephaestus7,en,0,0,0,0
35,1463314197845090312,"2 Princess St, Orono Ontario","** REMINDER **

Senior Skate returns Wednesday 12-1:30pm

Parent &amp; Tot returns Wednesday 2-3pm

Both are free!  Remember you must show proof of vaccination if you are 12 years old and older. https://t.co/PnlWxMhaRQ",2021-11-24 01:11:06+00:00,OronoArena,en,1,0,0,0
36,1463316419265896452,"Regina, Saskatchewan",Parents overjoyed as COVID-19 vaccine becomes available to young kids https://t.co/FkEGUWgcX7,2021-11-24 01:19:56+00:00,leaderpost,en,0,0,14,1
38,1463316385052954631,"Toronto, Ontario","Vaccine hesitancy exists as a normal distribution. On the one end are yoga instructors, and on the other are the hospital truthers. It’s all a normal function of psychosocial variation. There is some volatility in our ideas. We aren’t of single mind; there are clusters of thought https://t.co/Ppa0Da28MW",2021-11-24 01:19:47+00:00,KevinAndrewTO,en,0,2,3,1
39,1463316330396987401,Canada,Steve Burton Confirms He’s Been Fired From ‘General Hospital’ Over Refusal to Be Vaccinated https://t.co/Cy8bdWarEP via @variety,2021-11-24 01:19:34+00:00,ReflectingMan,en,0,1,7,0
40,1463316287120199682,Quebec City,Vaccine for my kiddo booked! So excited to have the 5-11 doses in Canada.,2021-11-24 01:19:24+00:00,Mike_Laidlaw,en,1,8,121,0
41,1463318406313218054,"Saskatoon, Canada","Up next, @hillsb1 is providing a COVID-19 update. So far this school year, the division has had 300 cases connected to schools.",2021-11-24 01:27:49+00:00,StoonPubSchools,en,1,1,4,0
43,1463318266013646850,"Edmonton, Alberta",FUREY: Read what the kids' vaccine approval actually says -- it's not a ringing endorsement https://t.co/zmD2tzp0CL,2021-11-24 01:27:16+00:00,JoeTheberge,en,6,0,8,0
44,1463318232887185409,"Saskatoon, Saskatchewan",Sask. COVID-19 vaccine booster program to be 'phased in' soon: chief medical health officer | CBC News #skpoli https://t.co/VqMumf9H58,2021-11-24 01:27:08+00:00,wapimaskwa69,en,0,0,0,0
46,1463318228713758721,"Toronto, Canada",Could Covid Lead to Progress? https://t.co/JdbZaIks6w,2021-11-24 01:27:07+00:00,PhMai,en,0,0,0,0
47,1463320431549685765,A really bad place aka Ontario,Variolation isn’t vaccination. Read up on Edward Jenner. https://t.co/qziXXxZZ8H,2021-11-24 01:35:52+00:00,CoronaHimbo,en,0,0,2,0
48,1463320390168576003,"Fort McMurray, Alberta, Canada",NDP health critic calls on province for rural supports for COVID-19 long-haulers https://t.co/tNxMkruGDw,2021-11-24 01:35:42+00:00,FortMacToday,en,2,0,4,2
49,1463320387022843908,Canada,"Great 🧵 

“So if I am understanding all the info I posted in this thread correctly, then

a Pfizer-funded organization has been inserted into the process through which doctors report myocarditis AEFIs” https://t.co/j2VskLU2QR",2021-11-24 01:35:42+00:00,TransWoman3,en,0,1,0,1
50,1463320312175603715,Nova Scotia,Ottawa doctor refusing to co-operate with investigation into COVID medical practices: College https://t.co/xHg4TxIshk via @ottawacitizen,2021-11-24 01:35:24+00:00,redbirdcarpent1,en,0,0,0,0
51,1463322420735930373,"Treaty 6 Land—Lacombe, AB","So, I'll be walking my five-year-old to school tomorrow morning right when vaccine booking opens up. That's...not ideal.",2021-11-24 01:43:46+00:00,JaimeAllieAB,en,0,1,3,0
53,1463322335688208385,"Hamilton, Ontario",#Covid_19 #vaccinations have been shown to stop life in children.,2021-11-24 01:43:26+00:00,scottljacobsen,en,0,0,2,0
54,1463322322547392518,"Toronto, Ontario","My weight fluctuation since 2016
2016: 160lbs
2017: 165lbs
2018: 180lbs (relationship)
2019: 160lbs (single)
2020: 200 lbs (COVID)
Jan-april 2021: 205lbs
May-now: 180lbs

As you can see ive been on a trip since 2018😂 i gotta figure this crap out
Bottom line; stay single😂",2021-11-24 01:43:23+00:00,XaviarMusic,en,0,0,0,0
55,1463322303320756225,"Toronto, Ontario",No mandate yet by the big 3 Automakers &amp; union reach deal on vaccine mandates https://t.co/1WPQ07iBGW,2021-11-24 01:43:18+00:00,BillyAngus4,en,3,0,2,0
56,1463324396047773709,"Halifax, Nova Scotia",Three more provinces announce plans for COVID-19 child vaccination programs https://t.co/MY7zZVaixf https://t.co/RjHAnYU5Et,2021-11-24 01:51:37+00:00,thestarhalifax,en,0,0,0,0
57,1463324351122579456,"Edmonton, Alberta",Three more provinces announce plans for COVID-19 child vaccination programs https://t.co/AnhJBshBh8 https://t.co/DvAjelu4qC,2021-11-24 01:51:27+00:00,thestaredmonton,en,0,0,0,0
58,1463324338052947973,"Treaty 6 (AB, Canada)","Only 120 vaccination locations for 391,000 AB children aged 5-11. No schools.
And in a few weeks @jkenney will get up on the podium and say “they left no stone unturned” 🙄 #COVID19ab",2021-11-24 01:51:24+00:00,wingkarli,en,199,49,969,14
59,1463324294277181443,"Toronto, Ontario",COVID-19 vaccine 5-11: Where you can get a COVID-19 vaccine for kids 5 to 11 in Ottawa and eastern Ontario - CTV Edmonton has been published on Canada News Media - https://t.co/YZSSWUnUs1 #news https://t.co/8xoZgTq8N8,2021-11-24 01:51:13+00:00,canadanewsmedia,en,0,0,1,0
60,1463324280762949638,"British Columbia, Canada","“The Kamloops hospital has 252 base beds and 20 surgical beds for a total of 279 beds but has 292 patients, as of Monday.
It also has four COVID outbreaks that have affected 50 people and caused three deaths to date.” - @InfoNewsKam 

#COVID19BC https://t.co/md8IAEIZTt",2021-11-24 01:51:10+00:00,BCWildfireWkly,en,1,0,1,0
63,1463328448118669312,"Ottawa, Ontario","End of day file: Conservatives formally object to Parliament’s COVID-19 vaccine mandate. 

Tory whip @BlakeRichardsMP says he wants to see all MPs decide on a “vaccination or test mandate” to enter the House of Commons.

https://t.co/bJKA0O51I9 #cdnpoli",2021-11-24 02:07:44+00:00,StephTaylorCP,en,3,6,3,2
64,1463328306883817472,"Edmonton, Alberta","With fewer than 6 percent of people vaccinated, Africa still 'least affected' by COVID-19, here's how https://t.co/cLIMaxIQn5",2021-11-24 02:07:10+00:00,nicsy05,en,0,0,0,0
66,1463330424973713409,Canada,"Kansas Governor to Sign Bill That Makes Businesses Allow Broad Exemptions to COVID-19 Vaccine Requirements - https://t.co/oBWCump1cF


... https://t.co/0JTwapi1cw",2021-11-24 02:15:35+00:00,NTDnewsCanada,en,0,0,0,0
68,1463332491775807490,"Vancouver, Canada","Soap Opera “General Hospital” Axes Another Anti-Vax Star 

These two actors work for a make-believe hospital, so fake has replaced real. Making over a surreal $1,000 per show, is this worth the reality? 

https://t.co/mKCgeVUa3q https://t.co/wD4J0PR1gM",2021-11-24 02:23:48+00:00,DaneMcFadhen,en,0,0,1,0
69,1463332476609171464,Vancouver Canada,Whistler Blackcomb put public safety first. Require a vaccine certificate to ski and ride. - Sign the Petition! https://t.co/buQ9bX94OL via @CdnChange,2021-11-24 02:23:44+00:00,janemurdina,en,0,0,0,0
71,1463334535643414528,"New Brunswick, Canada",i’m honestly surprised it took this long for doolys to be listed as a covid exposure site,2021-11-24 02:31:55+00:00,nolibramen,en,0,0,1,0
72,1463334453632196613,"London, Ontario","Covid shots should have been given to the elderly, at risk/health risk groups, and any other adults who wanted them. 

And everyone should have been told to stay home if sick. 

The End.",2021-11-24 02:31:35+00:00,thekylefree,en,13,3,81,2
74,1463334338943229954,Canada,Ontario reports 613 new COVID-19 cases https://t.co/h4YEq9pYhr,2021-11-24 02:31:08+00:00,Canoe,en,0,0,0,0
75,1463336547298668544,"British Columbia, Canada","Whats next, are the #Cons gonna boycott ice cream? #cdnpoli #antivaxxers 

Conservatives advance challenge of ruling imposing House vaccine mandate  https://t.co/58BtulFfTh via @CTVNews",2021-11-24 02:39:55+00:00,howee62,en,0,0,0,0
76,1463336386648547329,"Ontario, CA","#COVID19 vaccine #BoosterShots for all adults is a ‘slippery slope,’ expert warns
#CovidVaccine #CovidScam #InformedConsent #MedicalTyranny #CoercionIsNotConsent #Canada #cdnpoli #Toronto #TOpoli
https://t.co/I9cbxtEmqe",2021-11-24 02:39:16+00:00,RealJoelGomes,en,0,0,0,0
77,1463336383842508800,Canada,"Can someone explain why hospitals aren't prepared for these upticks in covid?
18 months to be prepared. This is going to just keep happening on &amp; off. Simple. 2 % death rate can't be changed. Lol.. use the Therapeutics.. simple",2021-11-24 02:39:16+00:00,outofpaycents,en,1,0,1,0
78,1463336381565050885,Canada,"LMAO. An ice cream co. is getting boycotted by anti-vaxxers for giving its vax'd staff a $1 raise &amp; putting those who refuse the 2x-weekly covid testing on unpaid leave.
My issue is... they haven't created egg nog ice cream yet. Get on that @Chapmans_Canada!  #StandWithChapmans",2021-11-24 02:39:15+00:00,Redgameboy,en,0,1,0,0
79,1463338512695144452,"Edmonton, Alberta","I am sick of reading about “break through” cases of double vaccinated people getting Covid.

NEWS FLASH:  The vaccine doesn’t protect you from anything.",2021-11-24 02:47:43+00:00,14ReyRey,en,222,56,1067,11
81,1463338443191173123,Canada's boreal forest,"This ad was brought to you by Pfizer.

#COVID19 #NoVaccinePassportsAnywhere #NoVaccinePassports https://t.co/iZARM740Cf",2021-11-24 02:47:27+00:00,CanadianBeave20,en,1,0,2,0
82,1463338412090429445,"Vancouver, BC",#Canada is in a post Covid eco min boom &amp; all #o’Toole can decry is doom &amp; gloom. Thank goodness for #Liberals,2021-11-24 02:47:19+00:00,Telly222,en,0,0,0,0
84,1463340544013127684,"Alberta, Canada","Was looking for the video about today's Covid vaccine announcement for 5-11 year olds on the Your Alberta YouTube channel. 

There is a video on there about the Alberta Trades Hall of Fame. Clearly, trades are important.

But does this gov't ever highlight the amazing research /1",2021-11-24 02:55:47+00:00,Scott_755,en,0,3,3,0
