,index,Unnamed: 0,id,user_location,text,created_at,username,lang,retweet_count,reply_count,like_count,quote_count
0,0,0,1464022007608385536,"Ottawa, Ontario Canada","Photographed this very interesting Foreign Minister from NZ. She told me about her face tattoo. Canada talks climate, COVID-19, Indigenous relations in meetings with New Zealand Foreign Minister - The Globe and Mail https://t.co/zteZBfIVuh",2021-11-26 00:03:41+00:00,davechanman,en,0,0,3,0
1,16,16,1464026969800994823,Alberta,Yesterday I said we should send the Covid Cult Karens to Australia but maybe we should send them to be re-educated in Florida?,2021-11-26 00:23:24+00:00,PollardLaw,en,1,1,12,0
2,20,20,1464029004676014082,"Calgary, Alberta","This is your reminder that after almost 2 months of having a vaccine passport in place, STILL nearly 400 Albertans are contracting Covid. Every. Single. Day.
#ableg https://t.co/DhC6pdbbas",2021-11-26 00:31:29+00:00,sjcalgary,en,2,1,7,0
3,22,22,1464031049734778883,Canada,"Anyone have experience crossing the border to get a COVID vaccine in Blaine or Bellingham? Any hassles or payment required? If BC doesn't hurry up, I am going to go to get my 3rd dose. Not waiting until January or later.",2021-11-26 00:39:37+00:00,yul_native,en,1,3,17,1
4,34,34,1464037081823416347,"Vancouver, Canada",StoryTap &amp; Video Marketing During the COVID-19 Pandemic – Bernadette Butler #Shorts #Shopify #VideoMarketing #MarketingTips #OnlineMarketingStrategy #VideoStrategy #VideoContentMarketing [Video] https://t.co/d7MqEl2IYX,2021-11-26 01:03:35+00:00,SandraGiffin,en,5,0,1,0
5,38,38,1464039047827972100,"Halifax, Nova Scotia","N.S. reports death of man in his 70s, 22 new cases of COVID-19 | CBC News https://t.co/TpSUQodCd7",2021-11-26 01:11:24+00:00,SH_BordenColley,en,0,0,0,0
6,41,41,1464041123379359744,"Red Earth 29, Saskatchewan",Variant B11529. Vaccine’s are preventing a negative outcome so far. This really sucks. Why Americans politicized this?  Anti maskers at schools across the country are beyond my comprehension. Priority should be keeping kids safe and in schools. 🤷,2021-11-26 01:19:39+00:00,ROB_4u1,en,1,2,14,0
7,53,53,1464049225491263493,"Ontario, Canada","Thank you to the @LGLHealthUnit for running a great vaccination clinic. And thanks for administrating my third dose of COVID-19 vaccine. I needed a booster, because of the medication I take. Feels like a weight has been lifted off my shoulders. 💉💉💉",2021-11-26 01:51:50+00:00,GeoffyPJohnston,en,0,0,1,0
8,55,55,1464049066216607745,"Calgary, AB Canada","Thank you for sharing this. I'm missing my kids and grandsons who were forced to move across the country due to # COVID-related reasons. 

Hard to pass the turkey through #Zoom https://t.co/e6HSbCZUO5",2021-11-26 01:51:12+00:00,RobynTBraley,en,0,0,1,0
9,56,56,1464049052857905162,"Halifax, Nova Scotia ","Yes, little late on this folks. https://t.co/otNGtYKuzm",2021-11-26 01:51:09+00:00,HedrickMal,en,0,0,2,0
10,65,65,1464055133327736838,Central Ontario Canada,South African scientists detect new COVID-19 variant https://t.co/vNHVifH7N0,2021-11-26 02:15:19+00:00,Oneclickhealth1,en,0,0,0,0
11,79,79,1464059219376844826,"Montréal, Québec",Covid fears back? Rly?,2021-11-26 02:31:33+00:00,TSLAFanMtl,en,0,8,17,0
12,85,85,1464063297813200898,"Calgary, Alberta",Alberta Health says privacy breach possible on province's vaccine passport website https://t.co/SD0qIzFsFB,2021-11-26 02:47:45+00:00,calgarynews,en,0,0,0,0
13,89,89,1464065220188549149,Canada,Dr. Robert Malone: Children Who Have Had COVID Are at Higher Risk of Adverse Effects If You Vaccinate Them (VIDEO) https://t.co/8WDAAv4mHq via @gatewaypundit,2021-11-26 02:55:24+00:00,IBAConservative,en,0,0,1,0
14,106,106,1464077383246491649,"Canada, eh?","""Natural immunity"" isn't. All immunity is acquired. Vaccine-acquired immunity works better. https://t.co/rNgswaQgQR",2021-11-26 03:43:44+00:00,BinaBecker,en,0,1,1,0
15,110,110,1464079366158176269,"Hamilton, Ontario","The Scott Radley Podcast - Burlington Taxi closing its doors after 53 years, 10th anniversary of 'The Best Game Ever' &amp; What's blunted the impact of COVID-19 in Africa?

@radleyatthespec @sptaszek 

https://t.co/uwDmxLgY86",2021-11-26 03:51:36+00:00,AM900CHML,en,0,0,1,0
16,119,119,1464087352779935748,"Vancouver, British Columbia",Canadian academic group concerned with COVID-19 mismanagement - https://t.co/Weqm9vufkC #CanadianInvestor #CanadiansInvest https://t.co/sk6BeDY39X,2021-11-26 04:23:20+00:00,CanadiansInvest,en,0,0,0,0
17,128,128,1464095374281371659,Canada,COVID-19: Privacy breach with Alberta’s QR code vaccine records https://t.co/vDwBnGRAxV,2021-11-26 04:55:13+00:00,ECIGCANADAZONE,en,0,0,0,0
18,132,132,1464101444815106053,Canada 🇨🇦,FDA Being Sued By Experts for Not Releasing Pfizer Vaccine Data – Bright Light News https://t.co/IFUk0Gl1cy,2021-11-26 05:19:20+00:00,LadyAvis20,en,1,0,1,0
19,144,144,1464115515685625858,"Vancouver, British Columbia","Director-General of the WHO confirms Vaccine Passports are discriminatory, Children should not be given the Covid-19 Vaccine, and the Jabs are useless at preventing infection and spread of Covid-19
https://t.co/0NspWZN3XV",2021-11-26 06:15:15+00:00,suzDaFlooz,en,2,1,3,1
20,145,145,1464123548394426373,"British Columbia, Canada","Nurses with U.S. accreditation who spread misleading or incorrect info about COVID-19, vaccines or related treatment can now be subject to discipline, including potential loss of their licence to practice. https://t.co/4fnm8ggzeF",2021-11-26 06:47:10+00:00,COVIDUpdate2020,en,7,2,35,0
21,152,152,1464133765580476416,"Vancouver, British Columbia","Tedros is beginning to sound shallow indeed
https://t.co/reB51vVtrW",2021-11-26 07:27:46+00:00,suzDaFlooz,en,1,0,1,0
22,155,155,1464139750856613916,"Vancouver, British Columbia",COVID-19 in hospitals: B.C. report shows how many infected in acute care | CTV News https://t.co/8tSSHub0LT,2021-11-26 07:51:33+00:00,CarolynCrossCdn,en,0,0,0,0
23,158,158,1464143860985126968,"Québec, Canada 🇨🇦","""Their patriarch led them through the parade. They marched in his honor."" by BY SARAH MASLIN NIR via NYT New York Times https://t.co/ySdnPF5zZ2",2021-11-26 08:07:53+00:00,DJIMB3RRY,en,0,0,0,0
24,168,168,1464176078491205640,"Vancouver, British Columbia",No letting up: Sudbury’s health unit reports 47 new cases of COVID-19 https://t.co/33iRzX4NQa https://t.co/82ADF0rNQa,2021-11-26 10:15:54+00:00,starvancouver,en,0,0,0,0
