,index,Unnamed: 0,id,user_location,text,created_at,username,lang,retweet_count,reply_count,like_count,quote_count
0,689,689,1464620991066247181,"Vancouver, British Columbia","A geneticist from Stanford University speculated  the Omicron virus was so different to the original l strain, Sars-Cov-2, it could be labelled “Sars-Cov-3” – “essentially restarting the pandemic” https://t.co/5uMfdzmbzN",2021-11-27 15:43:50+00:00,BrownieScott,en,1,1,0,0
1,786,786,1464701518192332800,Treaty 6 Territory,"My initial thoughts on #Omicron:

1. This is the direct result of vaccine inequity and vaccine nationalism. Countries around the world, including Canada, MUST commit to sending vaccines and funding to the Global South. 

2. This was entirely predictable and preventable. /1",2021-11-27 21:03:49+00:00,shazmamithani,en,44,8,254,0
2,1053,1053,1465015525273124872,"Halifax, NS",covid is doing wonders for the pretending-you-knew-all-the-Greek-letters community,2021-11-28 17:51:34+00:00,kevinkindred,en,0,0,6,0
3,119,119,1464087352779935748,"Vancouver, British Columbia",Canadian academic group concerned with COVID-19 mismanagement - https://t.co/Weqm9vufkC #CanadianInvestor #CanadiansInvest https://t.co/sk6BeDY39X,2021-11-26 04:23:20+00:00,CanadiansInvest,en,0,0,0,0
4,846,846,1464749780156964871,"Toronto, ON",Think we can all agree that COVID can go fuck itself.,2021-11-28 00:15:35+00:00,WheresWalter88,en,0,0,6,0
5,960,960,1464916907476361216,"Ottawa, Ontario","""Divided on COVID-19 vaccines but reliant on community, this Manitoba town tries to find its way back together""  https://t.co/sYaOB532id",2021-11-28 11:19:42+00:00,WinstonDeGres,en,1,1,3,0
6,944,944,1464866499127091203,"Montreal, Canada","https://t.co/RM96lE22Eo

Covid: Cardiff Airport dead without bailout, boss says

#BOSS #COVID",2021-11-28 07:59:23+00:00,taypeinternat,en,0,0,0,0
7,199,199,1464212321199398924,"Winnipeg, Manitoba, Canada",What you need to know about Canada's updated vaccine rules for domestic travel: https://t.co/ryPyzNujbt https://t.co/8VAM9qlMmo,2021-11-26 12:39:55+00:00,ctvwinnipeg,en,1,2,5,0
8,505,505,1464391666509307912,Halifax Nova Scotia Canada,🌃 Headlines | Potential COVID-19 exposures (Nov 25 2021) https://t.co/ndti93m5g6 https://t.co/kwQRINKnyh,2021-11-27 00:32:35+00:00,haligonia,en,2,0,2,0
9,1046,1046,1465013584698777603,Canada,The COVID Jabs were Designed to Fail/ By Dr. Sucharit Bhakdi - Mark Taliano.  Save your children from this! https://t.co/JyQONWt6BA,2021-11-28 17:43:51+00:00,Veebot_a,en,0,0,0,0
10,872,872,1464769896114360321,near alberta,"i could probably get 2, maybe 3 likes from you goons for doing futurama omicron persei 8 covid joke but i don't really give a shit",2021-11-28 01:35:31+00:00,tanukinutsack,en,0,0,3,0
11,998,998,1464967189728051207,"Toronto, Canada",The line-ups at the vax clinics full of kids &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;,2021-11-28 14:39:30+00:00,ColourMeRedddd,en,0,0,0,0
12,295,295,1464278762225340439,"Montreal, Canada","https://t.co/yJuARK8RZM

🔥 Anthony Fauci breaks down why a new COVID-19 variant is 'raising some concern'

#B11529 #DELTA #SOUTHAFRICA",2021-11-26 17:03:56+00:00,taypeinternat,en,0,0,0,0
13,1091,1091,1465049728186568713,Canada,I love how they wrote covid into the morning show,2021-11-28 20:07:29+00:00,allegrawagner,en,0,1,0,0
14,34,34,1464037081823416347,"Vancouver, Canada",StoryTap &amp; Video Marketing During the COVID-19 Pandemic – Bernadette Butler #Shorts #Shopify #VideoMarketing #MarketingTips #OnlineMarketingStrategy #VideoStrategy #VideoContentMarketing [Video] https://t.co/d7MqEl2IYX,2021-11-26 01:03:35+00:00,SandraGiffin,en,5,0,1,0
15,160,160,1464145857318641701,St.John's NL ,I'm so praying for all of the children who are receiving their covid-19 Vaccines and I hope and pray that all of the children are doing great with this Horrific Situation that we are all living with in our world.  Praying that nothing will happen to any of the children or us. https://t.co/Tiye5bAGHt,2021-11-26 08:15:49+00:00,Lindafurlongco2,en,0,0,0,0
16,361,361,1464312963284627459,"Canada, India, USA","OMICRON sounds like a new super Transformer, like more powerful than Optimus Prime or some shit. #newvariant #B11259 #coronavirus #Omicron https://t.co/hRMTvnjr66",2021-11-26 19:19:50+00:00,Rantaramic,en,2,0,2,0
17,637,637,1464554531568631817,Canada,The propaganda says the vaccines are highly effective.  The facts say they're incredibly ineffective.  If you stick to the facts most will call you an idiot.  #VaccinesWork just not the Covid ones.,2021-11-27 11:19:45+00:00,canukgord,en,0,0,0,0
18,159,159,1464145888234856459,"Hamilton, Ontario",He microchipped me. Now there's covid. Big problems.,2021-11-26 08:15:56+00:00,tethergene,en,0,0,0,0
19,807,807,1464717604715704330,"Niagara, Ontario","Keep talking about gas prices because I'm sick of hearing about COVID.

#COVID19 #covidvariant https://t.co/dS1gTvso8D",2021-11-27 22:07:44+00:00,AnthonyNCentre,en,0,0,0,0
20,831,831,1464735741435592708,"Ontario, Canada",I would like to personally thank all the participants in China including the arceling milatary of China for all the damages caused by covid and its Goddamme variants .You arcelings should all eat shit and die the deaths you deserve My Canadian government that has allowed this x10 https://t.co/q6T6J7wbeB,2021-11-27 23:19:48+00:00,ThePou_Lin126tm,en,0,0,0,0
